frontText,backText
"İsveç'te siyasi sorumluluk hangi seviyelere ayrılmıştır?","İsveç'te siyasi sorumluluk ulusal düzey (devlet), bölgesel düzey (bölgeler) ve belediye düzeyi (belediyeler) olmak üzere üç seviyeye ayrılmıştır."
"İsveç devletini (staten) oluşturan temel kurumlar hangileridir?","Devlet; parlamento (riksdag), hükümet (regering), resmi makamlar (myndigheter) ve mahkemelerden (domstolar) oluşur."
"İsveç Parlamentosu'nun (Riksdag) kaç üyesi vardır ve seçimler ne sıklıkla yapılır?","Parlamentonun 349 üyesi vardır ve seçimler dört yılda bir yapılır."
"Parlamentonun (Riksdag) ana görevleri nelerdir?","Kanunları çıkarmak ve devlet bütçesinin nasıl kullanılacağına karar vermektir."
"Hükümeti kurma görevini alan başbakanı (statsminister) kim seçer?","Başbakanı parlamento (Riksdag) seçer."
"Bütçe tasarısı (budgetproposition) nedir?","Hükümetin her sonbaharda parlamentoya sunduğu, devletin gelir ve giderleriyle ilgili planını ve önceliklerini içeren tekliftir."
"Muhalefetin (opposition) görevi nedir?","Hükümetin çalışmalarını denetlemek ve alternatif bir siyasi politika önermektir."
"Hükümet ülkeyi neyin yardımıyla yönetir?","Hükümet ülkeyi devlet kurumları ve resmi makamların (statliga myndigheter) yardımıyla yönetir."
"Resmi makamların yasaları doğru uygulayıp uygulamadığını denetleyen özel kurumlar hangileridir?","Adalet Ombudsmanı (JO) ve Adalet Şansölyesi (JK) gibi kurumlardır."
"İsveç'te kaç adet bölge (region) vardır ve en temel görevleri nedir?","İsveç'te 21 bölge vardır ve en temel görevleri sağlık ve tıbbi bakım (hälso- och sjukvård) hizmetlerini sağlamaktır."
"İsveç'te kaç belediye (kommun) bulunmaktadır?","İsveç'te toplam 290 belediye bulunmaktadır."
"Belediyeler hangi kamu hizmetlerinden sorumludur?","Su ve kanalizasyon, yaşlı ve çocuk bakımı, kar küreme, park bakımı ve yetişkin eğitimi gibi günlük hayatı doğrudan etkileyen hizmetlerden sorumludur."
"İsveç'in devlet yönetim şekli (statsskick) nedir?","İsveç'in devlet şekli anayasal monarşidir (konstitutionell monarki)."
"İsveç'te kralın veya kraliçenin siyasi bir gücü var mıdır?","Hayır, devlet başkanının hiçbir siyasi gücü yoktur ve İsveç için yalnızca sembolik bir işlev görür."
"Avrupa Parlamentosu (AB) seçimleri kaç yılda bir düzenlenir?","Avrupa Parlamentosu seçimleri beş yılda bir düzenlenir."
"İsveç'te oy kullanma yaşı (rösträtt) kaçtır?","Oy kullanabilmek için 18 yaşını doldurmuş olmak gerekir."
"Parlamento (Riksdag) seçimlerinde oy kullanmak için hangi vatandaşlık şartı aranır?","Parlamento seçimlerinde oy kullanabilmek için İsveç vatandaşı olmak şarttır."
"İsveç vatandaşı olmayan biri belediye ve bölge seçimlerinde oy kullanabilir mi?","Evet, ancak aralıksız toplam üç yıl boyunca İsveç'te yaşamış ve nüfusa kayıtlı (folkbokförd) olması veya AB/İskandinav ülkesi vatandaşı olup nüfusa kayıtlı olması gerekir."
"Referandumların (folkomröstningar) sonuçlarına uymak politikacılar için zorunlu mudur?","Hayır, referandumlar tavsiye niteliğindedir (rådgivande) ve politikacıların bu kararlara uyma zorunluluğu yoktur."
"Seçimlerde oyların gizli (hemliga) olması ne demektir?","Herkesin, başkalarının hangi seçimi yaptığını göremeyeceği şekilde bir paravanın arkasında oy kullanması demektir."
"Nispi (orantılı) seçim sistemi (proportionella val) ne anlama gelir?","Siyasi partilerin seçimlerde aldıkları oy oranına karşılık gelecek oranda sandalye elde etmeleridir."
"Bir siyasi partinin parlamentoya (Riksdag) girebilmesi için yüzde kaç oy alması gerekir?","İstikrarlı bir meclis oluşturmak amacıyla partilerin parlamentoya girebilmeleri için seçimlerde en az yüzde dört oranında oy alması zorunludur."
"İsveç'in dört temel yasası (anayasa/grundlagar) nelerdir?","Hükümet Şekli (regeringsformen), Basın Özgürlüğü Yasası (tryckfrihetsförordningen), İfade Özgürlüğü Yasası (yttrandefrihetsgrundlagen) ve Veraset Yasasıdır (successionsordningen)."
"Hükümet Şekli (regeringsformen) yasasına göre tüm kamu gücü kime dayanır?","Tüm kamu gücü halka (folket) dayanır."
"Basın Özgürlüğü Yasası (tryckfrihetsförordningen) neyi güvence altına alır?","Basılı materyallerde özgür ifadeyi korur; herkese kitap, gazete ve dergi yayımlama hakkı verir."
"İfade Özgürlüğü Yasası kapsamına rağmen, kanunen yasaklanmış ve suç sayılan ifadeler nelerdir?","Kişi veya gruplara hakaret, iftira (förtal), nefret suçları (hets mot folkgrupp) ve İsveç'in güvenliğine zarar verebilecek sırların yayılması yasaktır."
"Allemansrätten (Herkesin Doğaya Erişim Hakkı) nedir ve hangi yasayla korunur?","Arazinin kime ait olduğuna bakılmaksızın herkesin doğada dolaşmasını ve kamp yapmasını sağlayan bir haktır ve Hükümet Şekli (regeringsformen) ile korunur."
"İsveç adalet sistemindeki (rättsväsendet) temel kurumlar hangileridir?","Polis, Savcılık Makamı (Åklagarmyndigheten), Mahkemeler (Domstolar), Suç Mağdurları Kurumu (Brottsoffermyndigheten) ve Ceza İnfaz Kurumudur (Kriminalvården)."
"Hukuki güvenlik (rättssäkerhet) ne anlama gelmektedir?","Herkesin yasa önünde eşit olması, adil bir yargılama hakkına sahip olması ve uygun bir delil süreci olmaksızın mahkum edilememesidir."
"Mahkemelerin bağımsız (oberoende) olması ne anlama gelir?","Hükümetin veya parlamentonun mahkemelerin nasıl karar vereceğine müdahale edememesi ve yargıya emir verememesi anlamına gelir."
"İsveç'teki mahkemelerin üç seviyesi nelerdir?","Bölge Mahkemesi (Tingsrätten), Temyiz Mahkemesi (Hovrätten) ve Yargıtay (Högsta domstolen) olmak üzere üç seviye vardır."
"Bir ceza soruşturmasında, polisin delil topladığı ve tanıklarla konuştuğu aşamaya ne ad verilir?","Ön soruşturma (förundersökning) adı verilir."
"Bir ceza soruşturmasında şüphelinin 72 saate kadar kilit altında tutulduğu aşama hangisidir?","Savcının kararıyla kişinin gözaltında tutulduğu 'anhållan' aşamasıdır."
"Mahkemenin, bir şüphelinin çok daha uzun bir süre kilit altında tutulmasına karar verdiği sürece ne ad verilir?","Tutuklama (häktning) adı verilir."
"Mahkemede hakimle birlikte karar veren ve halkı temsil eden, siyasi partilerce atanmış kişilere ne denir?","'Nämndemän' (halk temsilcileri/jüri) denir."
"İsveç'te cezai sorumluluk/ehliyet yaşı (straffmyndighetsåldern) kaçtır?","Bireyler 15 yaşından itibaren cezai sorumluluk taşır."
"Bir suçtan dolayı hüküm giyen kişinin adli sicil kaydına (belastningsregister) işlenmesi hayatını nasıl etkiler?","İş bulmayı, ehliyet almayı veya vatandaşlığa geçmeyi oldukça zorlaştırabilir."
"İsveç'in kendi kurumları dışında ülkedeki siyasi kararları etkileyen uluslarüstü yapı hangisidir?","Avrupa Birliği (AB) kararları da İsveç'i doğrudan etkilemektedir."
"İsveç'in 'parlamenter temsili demokrasi' (parlamentarisk representativ demokrati) olması ne anlama gelir?","Vatandaşların genel seçimlerde oy kullanarak parlamentoya temsilciler (milletvekilleri) seçmesi ve bu vekillerin de yasalar ile devlet bütçesi hakkında kararlar alması demektir."
"Başbakan (statsminister) hükümeti kurma görevini aldıktan sonra ilk olarak ne yapar?","Hükümette görev alacak olan bakanları (ministrarna) belirler ve atar."
"İsveç'te devleti oluşturan kurumlara (myndigheter) hangi yaygın örnekler verilebilir?","İş Bulma Kurumu (Arbetsförmedlingen), Sosyal Sigortalar Kurumu (Försäkringskassan), Göçmenler Ofisi (Migrationsverket), Polis Teşkilatı (Polismyndigheten) ve Vergi Dairesi (Skatteverket) başlıca örneklerdir."
"Bir kişi ebeveyn ödeneği (föräldrapenning) talep ettiğinde kararı hangi devlet kurumu verir?","Bu tür ödenek kararlarını Sosyal Sigortalar Kurumu (Försäkringskassan) alır."
"Bölge meclisinde (regionfullmäktige) görev yapan ve kararları alan kişiler kimlerdir?","Bölge sakinleri tarafından bölge seçimlerinde (regionvalet) seçilen politikacılardır."
"Bölgelerin (regioner) sağlık hizmetleri dışındaki diğer önemli sorumlulukları nelerdir?","Otobüs, tramvay ve metro gibi toplu taşıma hizmetlerinin (kollektivtrafik) düzenlenmesinin yanı sıra il müzelerinin (länsmuseerna) yönetiminden sorumludurlar."
"İsveç'in nüfusu yaklaşık bir milyona ulaşan en büyük belediyesi hangisidir?","Ülkenin başkenti olan Stockholm belediyesidir."
"İsveç'te nüfusu 3.000'den az olan en küçük belediye hangisidir?","Västerbotten ilinde bulunan Dorotea belediyesidir."
"Belediye meclisinde görev yapan politikacıların çalışma hayatı genelde nasıldır?","Çoğu belediye politikacısının normal bir işi vardır ve siyasetle boş zamanlarında ilgilenirler."
"Belediyelerde belirli hizmet alanlarından sorumlu olan kurullara (nämnder) hangi örnekler verilebilir?","Kütüphanelerden sorumlu kültür kurulu (kulturnämnden) ve okullardan sorumlu eğitim kurulu (utbildningsnämnden) bunlara örnektir."
"Siyasi bir gücü bulunmayan kralın başlıca sembolik görevleri nelerdir?","İsveç'i sembolize etmek, diğer ülkelere devlet ziyaretleri (statsbesök) yapmak ve ülkeye gelen yabancı devlet başkanlarını ağırlamaktır."
"İsveç'in günümüzdeki hükümdarı kimdir ve tahtın ondan sonraki varisleri sırasıyla kimlerdir?","Mevcut hükümdar Kral Carl XVI Gustaf'tır. Ondan sonra tahta veliaht prenses Victoria, ardından da kızı Estelle geçecektir."
"İsveç'te yaşayan ancak İsveç vatandaşı olmayan AB vatandaşları Avrupa Parlamentosu seçimlerinde oylarını nerede kullanırlar?","İsveç'te nüfusa kayıtlı (folkbokförd) oldukları yerde oy kullanabilirler."
"2003 yılında İsveç'te referandum (folkomröstningar) yapılan konu neydi ve halk ne yönde karar verdi?","Euro para birimine geçiş konusunda referandum yapıldı ve halk 'hayır' oyu vererek İsveç kronunu koruma kararı aldı."
"Seçimlerden önce, oy kullanma hakkına sahip olan seçmenlerin evlerine gönderilen belge nedir?","Kişinin hangi seçim merkezinde (vallokal) oy kullanacağını gösteren seçmen kartı (röstkort) gönderilir."
"Seçim gününü beklemeden oy kullanmak mümkün müdür?","Evet, belirlenmiş özel alanlarda seçim öncesi oy kullanmak (förtidsrösta) mümkündür."
"Siyasi partiler seçim kampanyası (valrörelsen) döneminde seçmenleri ikna etmek için hangi yöntemleri kullanır?","Tartışmalar, toplantılar, siyasi reklamlar ve çeşitli kampanyalar düzenleyerek seçmenlere ulaşırlar."
"2026 seçimine kadar parlamentoda (Riksdag) sandalyesi bulunan sekiz siyasi parti hangileridir?","Centerpartiet, Kristdemokraterna, Liberalerna, Miljöpartiet, Moderaterna, Socialdemokraterna, Sverigedemokraterna ve Vänsterpartiet'tir."
"Sadece belirli bir bölge veya belediyede faaliyet gösteren yerel siyasi partiler de var mıdır?","Evet, ulusal düzeyde (riksnivå) siyasete katılmayan, yalnızca kendi bölgesine veya belediyesine odaklanan politikaları olan özel partiler bulunur."
"Hükümet Şekli (regeringsformen) yasasına göre kamu gücünün uygulanması hangi temel değerlere dayanmalıdır?","Kamu gücü; tüm insanların eşit değerine, bireyin özgürlüğüne ve insan haysiyetine saygı çerçevesinde uygulanmalıdır."
"Radyo, televizyon ve gazetelerde serbestçe fikir belirtme ve dernek kurma hakkı hangi yasa ile güvence altına alınmıştır?","İfade Özgürlüğü Yasası (Yttrandefrihetsgrundlagen) ile koruma altına alınmıştır."
"Veraset Yasası (Successionsordningen) tam olarak neyi tayin eder?","Mevcut kral veya kraliçeden sonra tahta kimin geçeceğini (kimin yeni hükümdar olacağını) belirler."
"Allemansrätten (Herkesin Doğaya Erişim Hakkı) sayesinde doğada hangi eylemleri gerçekleştirmek serbesttir?","İnsanlar doğada serbestçe yürüyüş yapabilir, bisiklete binebilir, kano kullanabilir, çadır kurabilir, ateş yakabilir ve yabani meyve, mantar ile çiçekleri toplayabilirler."
"Allemansrätten'in geçerli olduğu doğal alanlarda dikkat edilmesi gereken önemli yasaklar nelerdir?","Çiftçilerin ekili arazilerine ya da başkalarının bahçelerine girmek, doğaya çöp atmak ve yasalarla koruma altına alınmış nadir bitkileri koparmak yasaktır."
"İsveç Suç Mağdurları Kurumu (Brottsoffermyndigheten) hangi amaca yönelik hizmet verir?","Herhangi bir suça maruz kalmış mağdurların bakımı, desteklenmesi ve haklarının gözetilmesi için çalışır."
"Mahkum edilen kişilerin hapishane süreçlerinden ve cezalarının infazından sorumlu kurum hangisidir?","Ceza İnfaz Kurumu (Kriminalvården) sorumludur."
"Ebeveynler arasındaki velayet anlaşmazlıkları (vårdnadstvister) gibi medeni davaları hangi merci çözer?","İnsanların anlaşmazlık yaşadığı bu tür hukuki meseleleri (tvistemål) mahkemeler dinler ve karara bağlar."
"Bölge Mahkemesi'nin (Tingsrätten) verdiği karardan memnun kalınmazsa veya itiraz edilirse (överklagande), dava nereye taşınır?","Dosya bir üst seviyedeki mahkeme olan Temyiz Mahkeme'sine (Hovrätten) taşınır."
"İsveç'teki en yüksek merci olan Yargıtay'ın (Högsta domstolen) görevi nedir?","Yalnızca alt mahkemelerden (Bölge ve Temyiz Mahkemesi) geçmiş olan, emsal niteliği taşıyan ve çok önemli görülen belirli davaları inceler."
"Polis teşkilatı adli olaylar haricinde vatandaşlar için hangi idari izin ve belgeleri sağlar?","Pasaport ile ulusal kimlik kartları çıkarır ve gösteri yapabilmek için gerekli izin belgelerini onaylar."
"Polis, toplumu daha güvenli hale getirmek için kimlerle düzenli bir işbirliği içindedir?","Okulah, belediyeler, şirketler, dernekler ve diğer resmi kurumlarla ortaklaşa çalışır."
"Bir suç sürecindeki 'polisanmälan' (polise bildirim) adımı tam olarak nedir?","Suça maruz kalan mağdurun durumu ilk olarak polise bildirdiği, yani resmi suç duyurusunda bulunduğu başlangıç noktasıdır."
"Bir ceza soruşturmasında 'förhör' (sorgu/ifade) aşamasının temel amacı nedir?","Polisin ne olup bittiğini tam olarak anlayabilmesi için şüphelilerden veya görgü tanıklarından ifade alması sürecidir."
"Bir duruşma (rättegång) sürecinde yargılanan ve suçlanan kişiye ne denir?","Suçlanan tarafa sanık (den åtalade) adı verilir."
"Bir mahkemede savunma avukatının (försvarsadvokat) üstlendiği rol nedir?","Savcının iddialarını ve delillerini sorgulamak, ayrıca mahkemeye kendi savunma delillerini sunarak müvekkilini korumaktır."
"Eğer sanık mahkeme sonucunda masum bulunursa (frikännande) süreç nasıl sonlanır?","Karşılığında herhangi bir para ya da hapis cezası verilmez ve kişi beraat etmiş (frikänns) sayılır."
"Avrupa Parlamentosu seçimlerindeki seçmen şartları neden İsveç genel seçimlerinden farklılık gösterir?","Çünkü genel seçimlerde sadece İsveç vatandaşı olanlar oy kullanabilirken, AB parlamento seçimlerinde AB vatandaşları İsveç vatandaşı olmasalar bile kayıtlı oldukları ülkede oy verebilmektedirler."
"Hükümet, parlamentonun yasama süreçlerinden sonra alınan kararları sahada nasıl hayata geçirir?","Parlamentonun çıkardığı yasalar ve onayladığı bütçe, hükümete bağlı çalışan resmi kurumlar (Myndigheter) aracılığıyla pratikte uygulamaya konur."
"Anayasaları (Grundlagar) İsveç'teki sıradan yasalardan ayıran en önemli özellik nedir?","Temel hakları korudukları için anayasaların değiştirilmesi normal yasalara kıyasla çok daha zordur."
"Bir Tingsrätten (Bölge Mahkemesi) ceza davasında kararı kimler ortaklaşa verir?","Profesyonel hakim (domaren) ve ona eşlik ederek halkı temsil eden jüriler/halk temsilcileri (nämndemän) ortak karar verirler."
"Hem hukuki bir anlaşmazlık hem de bir suç davası mahkeme aşamasında ilk olarak hangi seviyede görülmeye başlar?","İlk merci (första instans) olarak adlandırılan Bölge Mahkemesi'nde (Tingsrätten) başlar."
"İsveç'te oyların sırrını (hemliga val) korumak için sandık merkezlerinde fiziksel olarak hangi önlem alınır?","Her seçmen oy pusulasını seçerken başkalarının görmesini engellemek için bir paravan/kabinin arkasına (bakom en skärm) geçerek oy kullanır."
